printedschoolname,type,address,Postcode,Latitude,Longitude,score
The Michael J. Petrides School,middle,"715 Ocean Terrace, Staten Island NY 10301",10301,40.608517,-74.102078,0.99
ACCION Academy,middle,"1825 Prospect Avenue, Bronx NY 10457",10457,40.842084,-73.891116,0.99
"Science, Technology and Research Early College School at Erasmus",middle,"911 Flatbush Avenue, Brooklyn NY 11226",11226,40.649787,-73.95855,0.99
Louis Pasteur Middle School 67Q,middle,"51-60 Marathon Parkway, Queens NY 11362",11362,40.762708,-73.733694,0.99
Marie Curie (M.S. 158),middle,"46-35 Oceania Street, Queens NY 11361",11361,40.756139,-73.772862,0.99
Irwin Altman (M.S. 172),middle,"81-14 257th Street, Queens NY 11004",11004,40.741944,-73.712965,0.99
The Holliswood School (P.S./I.S. 178),middle,"189-10 Radnor Road, Queens NY 11423",11423,40.724479,-73.777454,0.99
George J. Ryan (M.S. 216),middle,"64-20 175th Street, Queens NY 11365",11365,40.737517,-73.794031,0.99
The Christa McAuliffe School (I.S. 187),middle,"1171 65th Street, Brooklyn NY 11219",11219,40.627784,-74.004485,1
The Bay Academy (I.S. 98),middle,"1401 Emmons, Brooklyn NY 11235",,,,1
Alfred De B. Mason (P.S./ I.S. 226),middle,"6006 23rd Avenue, Brooklyn NY 11204",11204,40.615252,-73.97635,1
Mark Twain for the Gifted & Talented (I.S. 239),middle,"2401 Neptune Avenue, Brooklyn NY 11224",11224,40.578188,-73.99203,1
Chris Galas (P.S./M.S. 47),middle,"9 Power Road, Queens NY 11693",11693,40.606353,-73.820445,1
Scholars' Academy,middle,"320 Beach 104th Street, Queens NY 11694",11694,40.584109,-73.825711,1
"New Explorations into Science, Technology and Math",middle,"111 Columbia Street, Manhattan NY 10002",10002,40.718895,-73.979308,1
Middle School 577,middle,"208 North 5th Street, Brooklyn NY 11211",11211,40.715351,-73.956716,1
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",middle,"47-07 30th Place, Queens NY 11101",11101,40.742839,-73.936782,1
The Queens School of Inquiry,middle,"158-40 76th Road, Queens NY 11366",11366,40.724458,-73.810216,1
Elias Bernstein (I.S. 7),middle,"1270 Huguenot Avenue, Staten Island NY 10312",10312,40.523757,-74.185941,1
P.S. /I.S. 266 Q,middle,"74-10 Commonwealth Boulevard, Queens NY 11426",11426,40.746231,-73.727614,1
